Category,Message
spam,Congratulations! You've won a free prize!
ham,Lunch at 1 PM?
spam,Free access to premium content!
spam,Click here to win big!
ham,Lunch at 1 PM?
spam,Free access to premium content!
spam,"Limited time offer, act now!"
ham,Let me know your thoughts.
spam,Claim your $1000 gift card now!
spam,Get rich quick with this secret method!
spam,Buy now and save 90%!
ham,Let me know your thoughts.
ham,Please find the attached report.
spam,Buy now and save 90%!
ham,This is your invoice.
spam,Congratulations! You've won a free prize!
ham,Your order has been shipped.
spam,Free access to premium content!
spam,Claim your $1000 gift card now!
spam,You have been selected for a free trip!
ham,Let me know your thoughts.
ham,Let me know your thoughts.
spam,Urgent: Update your account information.
spam,You have been selected for a free trip!
ham,I'll call you later.
spam,Get rich quick with this secret method!
spam,Claim your $1000 gift card now!
spam,Exclusive deal just for you!
spam,Urgent: Update your account information.
spam,Free access to premium content!
spam,Urgent: Update your account information.
spam,Congratulations! You've won a free prize!
spam,Claim your $1000 gift card now!
ham,Let me know your thoughts.
ham,Can we reschedule our meeting?
ham,Meeting is confirmed for 3 PM.
spam,Click here to win big!
spam,Buy now and save 90%!
spam,Congratulations! You've won a free prize!
spam,Congratulations! You've won a free prize!
ham,Meeting is confirmed for 3 PM.
ham,Lunch at 1 PM?
ham,Meeting is confirmed for 3 PM.
spam,Congratulations! You've won a free prize!
spam,"Limited time offer, act now!"
ham,Lunch at 1 PM?
ham,"Hi, how are you doing today?"
ham,I'll call you later.
spam,Exclusive deal just for you!
ham,This is your invoice.
ham,This is your invoice.
ham,Let me know your thoughts.
spam,Free access to premium content!
spam,Exclusive deal just for you!
spam,Congratulations! You've won a free prize!
spam,Claim your $1000 gift card now!
ham,Your order has been shipped.
ham,Please find the attached report.
ham,Please find the attached report.
ham,Thanks for your email.
spam,Urgent: Update your account information.
spam,"Limited time offer, act now!"
ham,This is your invoice.
ham,Let me know your thoughts.
ham,Your order has been shipped.
ham,Can we reschedule our meeting?
ham,Lunch at 1 PM?
ham,Lunch at 1 PM?
ham,Thanks for your email.
spam,Get rich quick with this secret method!
ham,Your order has been shipped.
ham,Let me know your thoughts.
ham,This is your invoice.
spam,Click here to win big!
spam,"Limited time offer, act now!"
ham,I'll call you later.
ham,"Hi, how are you doing today?"
ham,Let me know your thoughts.
spam,Exclusive deal just for you!
ham,Meeting is confirmed for 3 PM.
spam,Claim your $1000 gift card now!
spam,Free access to premium content!
spam,"Limited time offer, act now!"
spam,Exclusive deal just for you!
spam,Free access to premium content!
ham,I'll call you later.
ham,"Hi, how are you doing today?"
spam,Click here to win big!
ham,I'll call you later.
ham,Please find the attached report.
spam,You have been selected for a free trip!
ham,Can we reschedule our meeting?
ham,Thanks for your email.
spam,Free access to premium content!
spam,Congratulations! You've won a free prize!
spam,Buy now and save 90%!
spam,Urgent: Update your account information.
ham,Lunch at 1 PM?
spam,Urgent: Update your account information.
ham,"Hi, how are you doing today?"
spam,"Limited time offer, act now!"
ham,Lunch at 1 PM?
ham,Lunch at 1 PM?
spam,Get rich quick with this secret method!
spam,Claim your $1000 gift card now!
ham,Your order has been shipped.
spam,You have been selected for a free trip!
spam,You have been selected for a free trip!
ham,Lunch at 1 PM?
spam,Free access to premium content!
spam,Congratulations! You've won a free prize!
spam,Buy now and save 90%!
ham,Thanks for your email.
ham,Meeting is confirmed for 3 PM.
ham,Your order has been shipped.
ham,Meeting is confirmed for 3 PM.
spam,"Limited time offer, act now!"
spam,Exclusive deal just for you!
spam,"Limited time offer, act now!"
ham,Can we reschedule our meeting?
ham,This is your invoice.
spam,Click here to win big!
spam,Free access to premium content!
ham,Lunch at 1 PM?
spam,Urgent: Update your account information.
ham,Can we reschedule our meeting?
spam,Buy now and save 90%!
ham,I'll call you later.
ham,Lunch at 1 PM?
spam,Free access to premium content!
spam,Free access to premium content!
ham,Please find the attached report.
spam,You have been selected for a free trip!
spam,Click here to win big!
ham,Let me know your thoughts.
ham,Meeting is confirmed for 3 PM.
ham,Let me know your thoughts.
spam,Urgent: Update your account information.
ham,Let me know your thoughts.
spam,Free access to premium content!
ham,This is your invoice.
spam,"Limited time offer, act now!"
ham,"Hi, how are you doing today?"
ham,I'll call you later.
